unet,segmentation,"(2749, 2)",3339,3,"(256, 256, 3)",relu,0.0001,16,88,9754.085884818807,0.8679886
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",tanh,0.001,16,100,9019.481572283432,0.6907471
unet,segmentation,"(2749, 2)",3339,3,"(256, 256, 3)",relu,0.01,16,88,9681.466022947803,0.75149804
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",sigmoid,0.0001,16,78,5515.384415976703,0.36448854
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",relu,0.001,16,36,2525.9037727490067,0.008327782
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",sigmoid,0.001,32,53,3728.0079124178737,0.33360413
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",sigmoid,1e-05,32,45,4041.124313812703,0.18340899
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",tanh,0.0001,8,23,1721.5955130308867,0.0083278
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",elu,0.0001,32,109,9868.19674191624,0.8955824
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",relu,0.01,64,144,13118.92235000804,0.86763334
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",relu,0.0001,32,29,2037.9735817033798,0.008327408
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",elu,0.0001,8,36,2672.342697557062,0.008327782
unet,segmentation,"(2749, 2)",3339,3,"(256, 256, 3)",tanh,1e-05,8,183,22161.872415270656,0.88589305
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",relu,0.001,64,78,7134.297238249332,0.8558282
unet,segmentation,"(2749, 2)",3339,1,"(256, 256, 3)",relu,1e-05,32,103,7218.4287976864725,0.754828
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",tanh,0.0001,32,92,8278.260878613219,0.84981185
unet,segmentation,"(2749, 2)",3339,2,"(256, 256, 3)",sigmoid,1e-05,16,43,3901.1796299312264,0.09046213
unet,segmentation,"(2749, 2)",3339,3,"(256, 256, 3)",relu,0.001,8,80,9642.048270929605,0.79158705
